id,brand,description,calories,source
290988,,"Strawberry milk, fat free (skim) (1 individual school container)",151.3,usda
290990,,"Strawberry milk, reduced sugar (1 cup)",146.3,usda
290991,,"Strawberry milk, reduced sugar (1 fl oz)",18.3,usda
290992,,"Strawberry milk, reduced sugar (1 individual school container)",146.3,usda
290994,,"Milk, malted (1 cup)",169.0,usda
290995,,"Milk, malted (1 fl oz)",21.1,usda
290997,,Eggnog (1 cup),225.3,usda
290998,,Eggnog (1 fl oz),28.2,usda
291037,,Licuado or Batido (1 fl oz),20.3,usda
291038,,Licuado or Batido (1 cup),162.0,usda
291064,,Chocolate milk drink (1 cup),121.5,usda
291065,,Chocolate milk drink (1 fl oz),15.2,usda
291136,,"Milk, dry, not reconstituted (1 cup)",463.4,usda
291138,,"Whey, sweet, dry (1 tablespoon)",26.5,usda
291140,,"Cocoa powder, not reconstituted (1 tablespoon)",11.4,usda
291143,,"Chocolate beverage powder, dry mix, not reconstituted (1 tablespoon)",40.0,usda
291146,,"Chocolate beverage powder, light, dry mix, not reconstituted (1 tablespoon)",35.0,usda
291149,,"Milk, malted, dry mix, not reconstituted (1 tablespoon)",20.5,usda
291152,,"Strawberry beverage powder, dry mix, not reconstituted (1 tablespoon)",38.9,usda
291160,,"Cream, light (1 cup)",468.0,usda
291161,,"Cream, light (1 fl oz)",58.5,usda
291162,,"Cream, light (1 individual container)",21.5,usda
291179,,"Cream, heavy (1 cup)",823.2,usda
291180,,"Cream, heavy (1 fl oz)",102.9,usda
291183,,"Cream, whipped (1 cup)",138.4,usda
291185,,Coffee creamer (1 cup),326.4,usda
291186,,Coffee creamer (1 fl oz),40.8,usda
291189,,"Coffee creamer, liquid (1 cup)",326.4,usda
291190,,"Coffee creamer, liquid (1 fl oz)",40.8,usda
291191,,"Coffee creamer, liquid (1 individual container)",20.4,usda
291199,,"Coffee creamer, liquid, fat free (1 cup)",170.4,usda
291200,,"Coffee creamer, liquid, fat free (1 fl oz)",21.3,usda
291201,,"Coffee creamer, liquid, fat free (1 individual container)",3.6,usda
291219,,"Coffee creamer, powder (1 cup)",497.3,usda
291220,,"Coffee creamer, powder (1 packet)",15.9,usda
291227,,"Coffee creamer, powder, fat free (1 cup)",405.1,usda
291228,,"Coffee creamer, powder, fat free (1 packet)",12.9,usda
291235,,"Coffee creamer, soy, liquid (1 cup)",326.4,usda
291236,,"Coffee creamer, soy, liquid (1 fl oz)",40.8,usda
291239,,Whipped topping (1 cup),238.5,usda
291241,,"Whipped topping, fat free (1 cup)",168.0,usda
291243,,"Whipped topping, sugar free (1 cup)",168.0,usda
291245,,"Sour cream, regular (1 tablespoon)",29.4,usda
291246,,"Sour cream, regular (1 cup)",470.4,usda
291247,,"Sour cream, regular (1 individual container)",58.8,usda
291249,,"Sour cream, light (1 tablespoon)",20.4,usda
291250,,"Sour cream, light (1 cup)",326.4,usda
291252,,"Sour cream, fat free (1 tablespoon)",11.1,usda
291253,,"Sour cream, fat free (1 cup)",177.6,usda
291255,,"Sour cream, imitation (1 tablespoon)",31.2,usda
291256,,"Sour cream, imitation (1 cup)",499.2,usda
291291,,Ice cream (1 cup),298.4,usda
291292,,Ice cream (1 scoop),265.2,usda
291293,,Ice cream (1 small ice cream cup),265.2,usda
291294,,Ice cream (1 medium ice cream cup),530.4,usda
291295,,Ice cream (1 large ice cream cup),795.6,usda
291296,,Ice cream (1 slice),145.9,usda
291297,,Ice cream (1 cubic inch),20.3,usda
291298,,Ice cream (1 individual container),165.8,usda
291300,,"Ice cream, vanilla (1 cup)",279.5,usda
291301,,"Ice cream, vanilla (1 scoop)",248.4,usda
